Indicador,Peso,Tipo
projetos_desenvolvimentoTecnologico_emAndamento_totalComoParticipanteComFinanciamento,0.0,
projetos_desenvolvimentoTecnologico_emAndamento_alunosEnvolvidos_total,0.0,
projetos_desenvolvimentoTecnologico_emAndamento_alunosEnvolvidos_doutorado,0.0,
projetos_desenvolvimentoTecnologico_emAndamento_totalComoCoordenadorComFinanciamento,0.0,
projetos_outro_totalComoParticipanteSemFinanciamento,0.0,
projetos_outro_totalComoParticipanteComFinanciamento,0.0,
projetos_outro_alunosEnvolvidos_graduacao,0.0,
projetos_outro_concluido_total,0.0,
projetos_outro_concluido_totalComoParticipanteSemFinanciamento,0.0,
projetos_outro_concluido_alunosEnvolvidos_total,0.0,
projetos_outro_concluido_alunosEnvolvidos_graduacao,0.0,
projetos_outro_concluido_totalComoCoordenadorComFinanciamento,0.0,
projetos_outro_emAndamento_totalComoParticipanteComFinanciamento,0.0,
projetos_ensino_total,0.0,
projetos_ensino_alunosEnvolvidos_total,0.0,
projetos_ensino_alunosEnvolvidos_graduacao,0.0,
projetos_ensino_totalComoCoordenadorSemFinanciamento,0.0,
projetos_ensino_concluido_total,0.0,
projetos_ensino_concluido_alunosEnvolvidos_total,0.0,
projetos_ensino_concluido_alunosEnvolvidos_graduacao,0.0,
projetos_ensino_concluido_totalComoCoordenadorSemFinanciamento,0.0,
formacaoAcademicaTitulacao_cursoTecnicoProfissionalizante_total,0.0,
formacaoAcademicaTitulacao_cursoTecnicoProfissionalizante_concluido,0.0,
formacaoAcademicaTitulacao_ensinoMedioSegundoGrau_total,0.0,
formacaoAcademicaTitulacao_ensinoMedioSegundoGrau_concluido,0.0,
formacaoAcademicaTitulacao_ensinoFundamentalPrimeiroGrau_total,0.0,
formacaoAcademicaTitulacao_ensinoFundamentalPrimeiroGrau_concluido,0.0,
formacaoComplementar_extensaoUniversitaria_total,0.0,
formacaoComplementar_extensaoUniversitaria_concluido,0.0,
producao_informacoesComplementares_participacaoBancaTrabalhosConclusao_cursoEspecializacao,0.0,
